"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2026-01-15","2026-01-15","2025-12","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","185000","100","Song","US","0.00000","555.00",""
"2026-01-15","2026-01-15","2025-12","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","62000","100","Song","GB","0.00000","186.00",""
"2026-01-15","2026-01-15","2025-12","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","48000","100","Song","DE","0.00000","144.00",""
"2026-01-15","2026-01-15","2025-12","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","35000","100","Song","FR","0.00000","105.00",""
"2026-01-15","2026-01-15","2025-12","Apple Music","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","95000","100","Song","US","0.00000","418.00",""
"2026-01-15","2026-01-15","2025-12","Apple Music","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","32000","100","Song","CA","0.00000","140.80",""
"2026-01-15","2026-01-15","2025-12","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","220000","100","Song","US","0.00000","660.00",""
"2026-01-15","2026-01-15","2025-12","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","85000","100","Song","MX","0.00000","255.00",""
"2026-01-15","2026-01-15","2025-12","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","58000","100","Song","BR","0.00000","174.00",""
"2026-01-15","2026-01-15","2025-12","TikTok","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","950000","100","Song","US","0.00000","475.00",""
"2026-01-15","2026-01-15","2025-12","TikTok","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","1200000","100","Song","BR","0.00000","600.00",""
"2026-01-15","2026-01-15","2025-12","Amazon Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","72000","100","Song","US","0.00000","336.00",""
"2026-01-15","2026-01-15","2025-12","Amazon Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","28000","100","Song","JP","0.00000","130.67",""
"2026-01-15","2026-01-15","2025-12","YouTube Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","145000","100","Song","US","0.00000","435.00",""
"2026-01-15","2026-01-15","2025-12","Deezer","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","42000","100","Song","FR","0.00000","189.00",""
"2026-01-15","2026-01-15","2025-12","Deezer","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","21000","100","Song","ES","0.00000","94.50",""
"2026-01-15","2026-01-15","2025-12","Tidal","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","15000","100","Song","NO","0.00000","81.00",""
"2026-01-15","2026-01-15","2025-12","Tidal","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","8500","100","Song","SE","0.00000","45.90",""
"2026-01-15","2026-01-15","2025-12","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","165000","100","Song","US","0.00000","495.00",""
"2026-01-15","2026-01-15","2025-12","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","52000","100","Song","AU","0.00000","156.00",""
"2026-01-15","2026-01-15","2025-12","Apple Music","Luna Waves","Dreamscape","QZNWX2400005","198765432105","78000","100","Song","US","0.00000","343.20",""
"2026-01-15","2026-01-15","2025-12","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","195000","100","Song","US","0.00000","585.00",""
"2026-01-15","2026-01-15","2025-12","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","68000","100","Song","CA","0.00000","204.00",""
"2026-01-15","2026-01-15","2025-12","TikTok","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","1800000","100","Song","US","0.00000","900.00",""
"2026-01-15","2026-01-15","2025-12","YouTube Music","Luna Waves","Stargazer","QZNWX2400007","198765432107","135000","100","Song","US","0.00000","405.00",""
"2026-01-15","2026-01-15","2025-12","Amazon Music","Luna Waves","Stargazer","QZNWX2400007","198765432107","62000","100","Song","US","0.00000","289.33",""
"2026-01-15","2026-01-15","2025-11","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","178000","100","Song","US","0.00000","534.00",""
"2026-01-15","2026-01-15","2025-11","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","58000","100","Song","GB","0.00000","174.00",""
"2026-01-15","2026-01-15","2025-11","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","210000","100","Song","US","0.00000","630.00",""
"2026-01-15","2026-01-15","2025-11","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","78000","100","Song","MX","0.00000","234.00",""
"2026-01-15","2026-01-15","2025-11","Apple Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","82000","100","Song","US","0.00000","360.80",""
"2026-01-15","2026-01-15","2025-11","Amazon Music","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","45000","100","Song","US","0.00000","210.00",""
"2026-01-15","2026-01-15","2025-11","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","155000","100","Song","US","0.00000","465.00",""
"2026-01-15","2026-01-15","2025-11","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","185000","100","Song","US","0.00000","555.00",""
"2026-01-15","2026-01-15","2025-11","Apple Music","Luna Waves","Stargazer","QZNWX2400007","198765432107","72000","100","Song","US","0.00000","316.80",""
"2026-01-15","2026-01-15","2025-10","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","168000","100","Song","US","0.00000","504.00",""
"2026-01-15","2026-01-15","2025-10","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","52000","100","Song","GB","0.00000","156.00",""
"2026-01-15","2026-01-15","2025-10","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","195000","100","Song","US","0.00000","585.00",""
"2026-01-15","2026-01-15","2025-10","Apple Music","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","88000","100","Song","US","0.00000","387.20",""
"2026-01-15","2026-01-15","2025-10","YouTube Music","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","125000","100","Song","US","0.00000","375.00",""
"2026-01-15","2026-01-15","2025-10","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","145000","100","Song","US","0.00000","435.00",""
"2026-01-15","2026-01-15","2025-10","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","172000","100","Song","US","0.00000","516.00",""
"2026-01-15","2026-01-15","2025-09","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","155000","100","Song","US","0.00000","465.00",""
"2026-01-15","2026-01-15","2025-09","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","182000","100","Song","US","0.00000","546.00",""
"2026-01-15","2026-01-15","2025-09","Apple Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","75000","100","Song","US","0.00000","330.00",""
"2026-01-15","2026-01-15","2025-09","Deezer","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","38000","100","Song","FR","0.00000","171.00",""
"2026-01-15","2026-01-15","2025-09","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","135000","100","Song","US","0.00000","405.00",""
"2026-01-15","2026-01-15","2025-09","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","158000","100","Song","US","0.00000","474.00",""
"2026-01-15","2026-01-15","2025-08","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","142000","100","Song","US","0.00000","426.00",""
"2026-01-15","2026-01-15","2025-08","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","168000","100","Song","US","0.00000","504.00",""
"2026-01-15","2026-01-15","2025-08","Amazon Music","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","58000","100","Song","US","0.00000","270.67",""
"2026-01-15","2026-01-15","2025-08","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","125000","100","Song","US","0.00000","375.00",""
"2026-01-15","2026-01-15","2025-08","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","145000","100","Song","US","0.00000","435.00",""
"2026-01-15","2026-01-15","2025-07","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","128000","100","Song","US","0.00000","384.00",""
"2026-01-15","2026-01-15","2025-07","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","152000","100","Song","US","0.00000","456.00",""
"2026-01-15","2026-01-15","2025-07","Apple Music","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","62000","100","Song","US","0.00000","272.80",""
"2026-01-15","2026-01-15","2025-07","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","115000","100","Song","US","0.00000","345.00",""
"2026-01-15","2026-01-15","2025-07","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","132000","100","Song","US","0.00000","396.00",""
"2026-01-15","2026-01-15","2025-06","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","118000","100","Song","US","0.00000","354.00",""
"2026-01-15","2026-01-15","2025-06","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","138000","100","Song","US","0.00000","414.00",""
"2026-01-15","2026-01-15","2025-06","YouTube Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","95000","100","Song","US","0.00000","285.00",""
"2026-01-15","2026-01-15","2025-06","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","105000","100","Song","US","0.00000","315.00",""
"2026-01-15","2026-01-15","2025-06","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","122000","100","Song","US","0.00000","366.00",""
"2026-01-15","2026-01-15","2025-05","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","108000","100","Song","US","0.00000","324.00",""
"2026-01-15","2026-01-15","2025-05","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","125000","100","Song","US","0.00000","375.00",""
"2026-01-15","2026-01-15","2025-05","Apple Music","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","72000","100","Song","US","0.00000","316.80",""
"2026-01-15","2026-01-15","2025-05","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","95000","100","Song","US","0.00000","285.00",""
"2026-01-15","2026-01-15","2025-05","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","112000","100","Song","US","0.00000","336.00",""
"2026-01-15","2026-01-15","2025-04","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","98000","100","Song","US","0.00000","294.00",""
"2026-01-15","2026-01-15","2025-04","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","115000","100","Song","US","0.00000","345.00",""
"2026-01-15","2026-01-15","2025-04","Amazon Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","52000","100","Song","US","0.00000","242.67",""
"2026-01-15","2026-01-15","2025-04","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","88000","100","Song","US","0.00000","264.00",""
"2026-01-15","2026-01-15","2025-04","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","102000","100","Song","US","0.00000","306.00",""
"2026-01-15","2026-01-15","2025-03","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","92000","100","Song","US","0.00000","276.00",""
"2026-01-15","2026-01-15","2025-03","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","108000","100","Song","US","0.00000","324.00",""
"2026-01-15","2026-01-15","2025-03","TikTok","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","750000","100","Song","US","0.00000","375.00",""
"2026-01-15","2026-01-15","2025-03","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","82000","100","Song","US","0.00000","246.00",""
"2026-01-15","2026-01-15","2025-03","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","95000","100","Song","US","0.00000","285.00",""
"2026-01-15","2026-01-15","2025-02","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","85000","100","Song","US","0.00000","255.00",""
"2026-01-15","2026-01-15","2025-02","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","98000","100","Song","US","0.00000","294.00",""
"2026-01-15","2026-01-15","2025-02","Apple Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","58000","100","Song","US","0.00000","255.20",""
"2026-01-15","2026-01-15","2025-02","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","75000","100","Song","US","0.00000","225.00",""
"2026-01-15","2026-01-15","2025-02","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","88000","100","Song","US","0.00000","264.00",""
"2026-01-15","2026-01-15","2025-01","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","78000","100","Song","US","0.00000","234.00",""
"2026-01-15","2026-01-15","2025-01","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","92000","100","Song","US","0.00000","276.00",""
"2026-01-15","2026-01-15","2025-01","YouTube Music","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","68000","100","Song","US","0.00000","204.00",""
"2026-01-15","2026-01-15","2025-01","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","68000","100","Song","US","0.00000","204.00",""
"2026-01-15","2026-01-15","2025-01","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","82000","100","Song","US","0.00000","246.00",""
"2026-01-15","2026-01-15","2024-12","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","72000","100","Song","US","0.00000","216.00",""
"2026-01-15","2026-01-15","2024-12","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","85000","100","Song","US","0.00000","255.00",""
"2026-01-15","2026-01-15","2024-12","Apple Music","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","48000","100","Song","US","0.00000","211.20",""
"2026-01-15","2026-01-15","2024-12","TikTok","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","620000","100","Song","US","0.00000","310.00",""
"2026-01-15","2026-01-15","2024-12","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","62000","100","Song","US","0.00000","186.00",""
"2026-01-15","2026-01-15","2024-12","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","75000","100","Song","US","0.00000","225.00",""
"2026-01-15","2026-01-15","2024-11","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","65000","100","Song","US","0.00000","195.00",""
"2026-01-15","2026-01-15","2024-11","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","78000","100","Song","US","0.00000","234.00",""
"2026-01-15","2026-01-15","2024-11","Amazon Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","42000","100","Song","US","0.00000","196.00",""
